rms_amplitude,dc_offset,articulation_rate,mean_pitch,pitch_std_dev,hnr,original_speaker_id,line_id,wer_score
0.14336568,-0.00023261107,7.259383887021715,127.76141157456895,29.641809296426317,9.36600083464017,97736,9773692734,4.597701149425287
0.12623341,6.762791e-06,6.45691522277228,124.94351673390014,28.485119199506908,8.910785220190142,97736,9773621253,3.7037037037037033
0.109401636,0.0012744721,7.217453063241106,120.2964132793614,31.90133221361927,8.981786391616565,97736,9773616951,0.0
0.12253131,-0.00015812292,7.923454206173086,118.54909233015812,31.613428908482657,7.912136117160603,97736,9773690970,2.9850746268656714
0.13438477,0.00010345868,7.189481894435352,121.63199133369572,30.92821898443403,9.478497939245036,97736,9773694799,4.615384615384616
0.13327093,5.205356e-05,7.612121757925074,126.1597050312832,30.813416425646643,8.832101135627815,97736,9773620037,3.7735849056603774
0.13530569,-0.00029085824,7.95752245508982,123.53577474242546,28.901494885764773,8.647027704761568,97736,9773652590,1.6129032258064515
0.13384646,-0.000110816734,6.896332309497516,119.45487213094404,30.003770226375163,9.299571131777212,97736,9773683964,0.0
0.13216698,0.0010257147,6.691856971153846,123.39907783212143,31.111382831707164,8.758177717148582,97736,9773695837,8.928571428571429
0.1407011,-0.000199736,7.862163814180931,119.55632161300755,31.85682952161945,8.331402140386706,97736,9773655409,1.5151515151515151
0.13006426,-0.00013578859,6.330362955729167,128.32964737924837,31.94077122999567,9.09496091481256,97736,9773621832,2.7027027027027026
0.13622122,-0.00011484253,7.157628676470588,128.0866239362234,29.83343165385555,9.151964512836312,97736,9773694562,1.9607843137254901
0.11939289,0.0007415016,6.089564732142856,118.60147772258188,27.32653278424577,9.02435959157746,97736,9773658872,5.084745762711865
0.12676607,0.0005173634,6.371627017484869,123.869688496013,36.57883478714324,9.559106312094867,97736,9773612271,0.0
0.13493489,-0.00023903578,7.724441415847666,112.31745942297609,19.55153347992448,9.781647614486124,97736,9773665773,6.976744186046512
0.11024281,0.00011946235,6.15234375,116.59494696576893,24.98914448215205,9.038065536227416,97736,9773697720,0.0
0.12914589,0.00012785476,7.703325880380097,116.47598728024744,23.754530551978785,8.812515702466174,97736,9773662142,8.60215053763441
0.13035306,-0.0002203871,8.285856283941039,121.09700192485889,29.79970904003403,8.512141868127333,97736,9773654765,0.0
0.12811063,0.00046923905,7.272001055347091,126.38417045851668,30.64095585220561,9.23162277135177,97736,9773658874,0.0
0.1440836,-0.0002487025,6.044407894736842,124.22827148038076,33.883086374763664,9.580191915817688,97736,9773621487,1.6666666666666667
0.14525518,-0.00019742796,6.50803162564396,119.14027470470602,31.233305306590307,8.768063369709806,97736,9773626945,0.0
0.14315447,-2.5074223e-05,6.79995888157895,133.6152052301375,52.88987025064393,9.475561312369791,97736,9773680591,4.705882352941177
0.13409863,-0.00019674841,7.36504893114936,116.59449125729846,30.71391540918068,8.904822684980045,53332,5333295014,1.0638297872340425
0.14524117,-0.000287363,9.434177187055475,122.3408597981894,30.027861826271504,8.095387905089682,53332,5333256547,0.0
